Task_ID,Priority_Level,Required_Man_Hours,Total_Cost,Status
TSK_092,3,34,22168,Deferred / Unallocated
TSK_030,3,58,22214,Deferred / Unallocated
TSK_090,2,33,15642,Deferred / Unallocated
TSK_047,2,23,15985,Deferred / Unallocated
TSK_028,2,53,16483,Deferred / Unallocated
TSK_126,2,33,16533,Deferred / Unallocated
TSK_039,2,46,17342,Deferred / Unallocated
TSK_112,3,42,26082,Deferred / Unallocated
TSK_052,2,29,17632,Deferred / Unallocated
TSK_089,3,56,26488,Deferred / Unallocated
TSK_017,1,31,8835,Deferred / Unallocated
TSK_058,3,56,26544,Deferred / Unallocated
TSK_101,1,18,8928,Deferred / Unallocated
TSK_062,2,45,18045,Deferred / Unallocated
TSK_071,2,27,18657,Deferred / Unallocated
TSK_102,2,33,18909,Deferred / Unallocated
TSK_031,2,36,19188,Deferred / Unallocated
TSK_124,3,57,28956,Deferred / Unallocated
TSK_130,3,49,29155,Deferred / Unallocated
TSK_056,3,53,30051,Deferred / Unallocated
TSK_093,2,54,20250,Deferred / Unallocated
TSK_064,3,49,30527,Deferred / Unallocated
TSK_009,2,32,20384,Deferred / Unallocated
TSK_079,2,57,20634,Deferred / Unallocated
TSK_048,2,59,21830,Deferred / Unallocated
TSK_063,3,59,33276,Deferred / Unallocated
TSK_091,2,35,22190,Deferred / Unallocated
TSK_060,1,23,11109,Deferred / Unallocated
TSK_043,2,48,22752,Deferred / Unallocated
TSK_114,2,51,22797,Deferred / Unallocated
TSK_129,3,53,34556,Deferred / Unallocated
TSK_074,2,43,23392,Deferred / Unallocated
TSK_029,2,34,23460,Deferred / Unallocated
TSK_104,2,53,23956,Deferred / Unallocated
TSK_075,1,19,12065,Deferred / Unallocated
TSK_149,1,35,12180,Deferred / Unallocated
TSK_059,2,44,24464,Deferred / Unallocated
TSK_135,2,44,24508,Deferred / Unallocated
TSK_106,1,33,12276,Deferred / Unallocated
TSK_145,2,36,24588,Deferred / Unallocated
TSK_122,2,43,24725,Deferred / Unallocated
TSK_123,2,42,25116,Deferred / Unallocated
TSK_137,3,56,37688,Deferred / Unallocated
TSK_097,2,54,25218,Deferred / Unallocated
TSK_111,2,44,25256,Deferred / Unallocated
TSK_107,1,20,13000,Deferred / Unallocated
TSK_148,1,24,13128,Deferred / Unallocated
TSK_025,1,42,13230,Deferred / Unallocated
TSK_073,2,53,27401,Deferred / Unallocated
TSK_078,1,40,14000,Deferred / Unallocated
TSK_076,2,45,28620,Deferred / Unallocated
TSK_006,1,30,14700,Deferred / Unallocated
TSK_036,2,56,29960,Deferred / Unallocated
TSK_001,2,48,30192,Deferred / Unallocated
TSK_099,1,34,15198,Deferred / Unallocated
TSK_020,2,53,30528,Deferred / Unallocated
TSK_136,2,46,30636,Deferred / Unallocated
TSK_004,2,52,31252,Deferred / Unallocated
TSK_024,1,30,15990,Deferred / Unallocated
TSK_053,1,37,16539,Deferred / Unallocated
TSK_144,2,48,33120,Deferred / Unallocated
TSK_050,1,35,16870,Deferred / Unallocated
TSK_021,1,39,17004,Deferred / Unallocated
TSK_037,2,53,36835,Deferred / Unallocated
TSK_054,2,56,36960,Deferred / Unallocated
TSK_070,1,38,21546,Deferred / Unallocated
TSK_022,1,47,23124,Deferred / Unallocated
TSK_110,1,44,23276,Deferred / Unallocated
TSK_116,1,50,24450,Deferred / Unallocated
TSK_150,1,51,26112,Deferred / Unallocated
TSK_133,1,44,26444,Deferred / Unallocated
TSK_128,1,44,29436,Deferred / Unallocated
TSK_115,1,48,30912,Deferred / Unallocated
TSK_127,1,46,31832,Deferred / Unallocated
