Task_ID,Arrival_Time,Wait_Time_In_Queue,Service_Duration,Total_Turnaround_Time
REQ_0054,66.35,12.04,5.4,17.45
REQ_0055,69.08,10.29,5.9,16.18
REQ_0057,69.46,10.9,7.19,18.09
REQ_0058,69.74,13.39,4.87,18.26
REQ_0059,69.85,13.94,5.79,19.73
REQ_0062,75.35,12.65,4.5,17.15
REQ_0060,71.27,14.0,7.61,21.62
REQ_0063,75.75,13.83,3.89,17.71
REQ_0061,71.92,15.62,7.1,22.72
REQ_0064,76.71,15.79,4.78,20.57
REQ_0067,79.1,15.54,3.99,19.54
REQ_0065,77.5,15.38,6.19,21.57
REQ_0066,78.07,15.4,7.96,23.36
REQ_0068,79.77,17.51,4.9,22.41
REQ_0069,80.53,18.11,4.17,22.28
REQ_0070,81.46,17.61,4.22,21.83
REQ_0074,88.37,14.92,3.38,18.3
REQ_0072,85.98,16.2,4.54,20.74
REQ_0071,84.87,16.56,6.43,22.99
REQ_0073,86.47,16.34,6.46,22.8
REQ_0076,91.18,15.55,4.59,20.13
REQ_0077,94.37,13.49,5.15,18.64
REQ_0075,89.54,17.13,6.38,23.52
REQ_0078,98.13,11.14,7.86,19.0
REQ_0079,98.92,12.39,6.22,18.62
REQ_0080,99.49,13.52,4.67,18.19
REQ_0081,101.62,11.44,5.69,17.13
REQ_0082,103.2,13.93,6.08,20.01
REQ_0083,103.52,14.01,6.13,20.14
REQ_0085,104.98,13.77,4.97,18.73
REQ_0084,104.84,12.84,7.41,20.25
REQ_0086,105.72,17.49,4.35,21.85
REQ_0089,109.9,15.19,4.73,19.92
REQ_0088,109.75,13.97,6.7,20.67
REQ_0087,106.21,17.45,7.01,24.46
REQ_0092,111.36,19.06,3.41,22.47
REQ_0090,110.03,17.53,6.42,23.95
REQ_0093,111.91,18.76,5.71,24.46
REQ_0091,110.86,18.95,7.83,26.78
REQ_0094,112.32,21.52,4.73,26.25
REQ_0095,113.27,20.71,5.3,26.01
REQ_0096,115.6,20.78,5.11,25.89
REQ_0098,117.18,21.38,5.1,26.48
REQ_0099,117.21,22.06,6.32,28.38
REQ_0097,116.5,21.15,8.07,29.22
REQ_0100,117.63,23.87,6.57,30.44
REQ_0101,118.08,25.58,6.69,32.27
REQ_0102,119.98,25.61,5.74,31.35
REQ_0104,121.86,26.21,5.92,32.13
REQ_0105,121.87,28.49,3.94,32.42
REQ_0103,121.32,24.39,8.65,33.04
REQ_0106,122.5,28.83,5.05,33.88
REQ_0107,123.41,30.57,4.83,35.4
REQ_0108,126.6,27.69,5.1,32.79
REQ_0110,127.5,28.89,5.41,34.3
REQ_0109,126.98,27.38,7.68,35.06
REQ_0111,128.04,30.77,5.86,36.63
REQ_0112,128.23,31.16,7.05,38.21
REQ_0113,128.9,32.89,7.47,40.36
REQ_0115,130.06,34.61,5.36,39.97
REQ_0114,129.96,32.08,8.26,40.34
REQ_0119,138.59,31.71,4.01,35.72
REQ_0117,137.74,31.52,5.23,36.75
REQ_0116,135.33,31.11,8.17,39.29
REQ_0122,140.63,33.98,3.61,37.59
REQ_0118,138.16,31.88,8.5,40.37
REQ_0121,140.49,34.01,6.26,40.26
REQ_0120,139.82,34.49,7.52,42.01
REQ_0124,141.3,37.23,4.92,42.15
REQ_0123,140.87,37.35,5.28,42.63
REQ_0126,143.34,38.49,5.66,44.15
REQ_0127,143.36,40.08,4.51,44.59
REQ_0125,143.3,37.45,7.71,45.16
REQ_0128,144.87,38.63,5.2,43.83
REQ_0129,149.34,38.15,4.95,43.09
REQ_0132,151.4,37.3,4.22,41.52
REQ_0130,150.2,37.76,5.21,42.97
REQ_0131,150.41,38.04,5.94,43.98
REQ_0135,156.17,37.0,4.51,41.51
REQ_0133,155.29,37.14,6.01,43.15
REQ_0134,155.56,37.36,6.03,43.39
